Date,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target,Effective Federal Funds Rate,Real GDP (Percent Change),Unemployment Rate,Inflation Rate
1/1/1966,,,,4.42,10.2,4,0.9
2/1/1966,,,,4.6,,3.8,1.2
3/1/1966,,,,4.65,,3.8,1.5
4/1/1966,,,,4.67,1.6,3.8,1.8
5/1/1966,,,,4.9,,3.9,2.1
6/1/1966,,,,5.17,,3.8,2.4
7/1/1966,,,,5.3,2.9,3.8,2.8
8/1/1966,,,,5.53,,3.8,3.1
9/1/1966,,,,5.4,,3.7,3
10/1/1966,,,,5.53,3.5,3.7,3.3
11/1/1966,,,,5.76,,3.6,3.6
12/1/1966,,,,5.4,,3.8,3.3
1/1/1967,,,,4.94,3.7,3.9,3.6
2/1/1967,,,,5,,3.8,3.6
3/1/1967,,,,4.53,,3.8,3.6
4/1/1967,,,,4.05,0.3,3.8,3.3
5/1/1967,,,,3.94,,3.8,3.3
6/1/1967,,,,3.98,,3.9,3.3
7/1/1967,,,,3.79,3.5,3.8,3.3
8/1/1967,,,,3.9,,3.8,3.3
9/1/1967,,,,3.99,,3.8,3.6
10/1/1967,,,,3.88,3.2,4,3.5
11/1/1967,,,,4.13,,3.9,3.5
12/1/1967,,,,4.51,,3.8,3.8
1/1/1968,,,,4.6,8.4,3.7,4.1
2/1/1968,,,,4.71,,3.8,4.1
3/1/1968,,,,5.05,,3.7,4.4
4/1/1968,,,,5.76,6.9,3.5,4.4
5/1/1968,,,,6.11,,3.5,4.3
6/1/1968,,,,6.07,,3.7,4.6
7/1/1968,,,,6.02,2.9,3.7,4.9
8/1/1968,,,,6.03,,3.5,4.9
9/1/1968,,,,5.78,,3.4,4.9
10/1/1968,,,,5.91,1.8,3.4,4.8
11/1/1968,,,,5.82,,3.4,5.1
12/1/1968,,,,6.02,,3.4,5.1
1/1/1969,,,,6.3,6.4,3.4,5.1
2/1/1969,,,,6.61,,3.4,5.3
3/1/1969,,,,6.79,,3.4,5.6
4/1/1969,,,,7.41,1.3,3.4,6.1
5/1/1969,,,,8.67,,3.4,6.1
6/1/1969,,,,8.9,,3.5,5.8
7/1/1969,,,,8.61,2.5,3.5,5.8
8/1/1969,,,,9.19,,3.5,5.8
9/1/1969,,,,9.15,,3.7,6
10/1/1969,,,,9,-1.7,3.7,6
11/1/1969,,,,8.85,,3.5,5.9
12/1/1969,,,,8.97,,3.5,6.2
1/1/1970,,,,8.98,-0.7,3.9,6.2
2/1/1970,,,,8.98,,4.2,6.1
3/1/1970,,,,7.76,,4.4,6.1
4/1/1970,,,,8.1,0.7,4.6,5.8
5/1/1970,,,,7.94,,4.8,6
6/1/1970,,,,7.6,,4.9,6.5
7/1/1970,,,,7.21,3.6,5,6.2
8/1/1970,,,,6.61,,5.1,6.2
9/1/1970,,,,6.29,,5.4,6.2
10/1/1970,,,,6.2,-4,5.5,6.4
11/1/1970,,,,5.6,,5.9,6.6
12/1/1970,,,,4.9,,6.1,6.6
1/1/1971,,,,4.14,11.1,5.9,6.3
2/1/1971,,,,3.72,,5.9,5.8
3/1/1971,,,,3.71,,6,5.2
4/1/1971,,,,4.15,2.3,5.9,5
5/1/1971,,,,4.63,,5.9,5.2
6/1/1971,,,,4.91,,5.9,4.9
7/1/1971,,,,5.31,3.2,6,4.9
8/1/1971,,,,5.56,,6.1,4.6
9/1/1971,,,,5.55,,6,4.4
10/1/1971,,,,5.2,1.2,5.8,3.8
11/1/1971,,,,4.91,,6,3.3
12/1/1971,,,,4.14,,6,3.1
1/1/1972,,,,3.5,7.4,5.8,3.1
2/1/1972,,,,3.29,,5.7,3.3
3/1/1972,,,,3.83,,5.8,3.3
4/1/1972,,,,4.17,9.6,5.7,3.3
5/1/1972,,,,4.27,,5.7,3.1
6/1/1972,,,,4.46,,5.7,2.8
7/1/1972,,,,4.55,3.7,5.6,2.8
8/1/1972,,,,4.8,,5.6,3.3
9/1/1972,,,,4.87,,5.5,2.8
10/1/1972,,,,5.04,6.8,5.6,3
11/1/1972,,,,5.06,,5.3,3
12/1/1972,,,,5.33,,5.2,3
1/1/1973,,,,5.94,10.2,4.9,2.8
2/1/1973,,,,6.58,,5,2.8
3/1/1973,,,,7.09,,4.9,3
4/1/1973,,,,7.12,4.6,5,3.2
5/1/1973,,,,7.84,,4.9,3.2
6/1/1973,,,,8.49,,4.9,3.2
7/1/1973,,,,10.4,-2.2,4.8,3.2
8/1/1973,,,,10.5,,4.8,3.2
9/1/1973,,,,10.78,,4.8,3.8
10/1/1973,,,,10.01,3.8,4.6,4.3
11/1/1973,,,,10.03,,4.8,4.5
12/1/1973,,,,9.95,,4.9,4.7
1/1/1974,,,,9.65,-3.3,5.1,4.9
2/1/1974,,,,8.97,,5.2,5.4
3/1/1974,,,,9.35,,5.1,5.8
4/1/1974,,,,10.51,1.1,5.1,6.2
5/1/1974,,,,11.31,,5.1,6.8
6/1/1974,,,,11.93,,5.4,7.9
7/1/1974,,,,12.92,-3.8,5.5,8.8
8/1/1974,,,,12.01,,5.5,9.6
9/1/1974,,,,11.34,,5.9,10.2
10/1/1974,,,,10.06,-1.6,6,10.6
11/1/1974,,,,9.45,,6.6,11.2
12/1/1974,,,,8.53,,7.2,11.1
1/1/1975,,,,7.13,-4.7,8.1,11.5
2/1/1975,,,,6.24,,8.1,11.7
3/1/1975,,,,5.54,,8.6,11.4
4/1/1975,,,,5.49,3.1,8.8,11.3
5/1/1975,,,,5.22,,9,10.5
6/1/1975,,,,5.55,,8.8,9.6
7/1/1975,,,,6.1,6.8,8.6,9.1
8/1/1975,,,,6.14,,8.4,8.2
9/1/1975,,,,6.24,,8.4,7.7
10/1/1975,,,,5.82,5.5,8.4,7
11/1/1975,,,,5.22,,8.3,6.8
12/1/1975,,,,5.2,,8.2,6.7
1/1/1976,,,,4.87,9.3,7.9,6.7
2/1/1976,,,,4.77,,7.7,6.5
3/1/1976,,,,4.84,,7.6,6.6
